 Analysis code | AN Notes | # Authors | # Authors from USA | Institutes | # Institutes | # Insitutes from USA
B2G-12-001 |  | 0 | 0 |  | 0 | 0
B2G-12-002 | CMS AN-2011/511 | 3 | 0 | LOUVAIN, PAVIA, #not_found# | 3 | 0
B2G-12-003 | CMS AN-2011/419 | 10 | 4 | BOSTON-UNIV, BROWN-UNIV, #not_found#, PADOVA | 4 | 2
B2G-12-004 | CMS AN-2011/454 | 7 | 4 | FLORIDA-STATE, #not_found#, UCDAVIS, KANSAS-STATE | 4 | 3
B2G-12-005 | CMS AN-2012/179 | 9 | 8 | JOHNS-HOPKINS, #not_found#, UCDAVIS, SUNY-BUFFALO | 4 | 3
B2G-12-006 | CMS AN-2012/488, CMS AN-2012/277 | 15 | 1 | HAMBURG-UNIV, BRUSSEL-VUB, #not_found#, CHICAGO | 4 | 1
B2G-12-007 |  | 0 | 0 |  | 0 | 0
B2G-12-008 | CMS AN-2012/280 | 3 | 3 | CORNELL | 1 | 1
B2G-12-009 | CMS AN-2013/004 | 7 | 6 | CERN, JOHNS-HOPKINS, UCDAVIS, SUNY-BUFFALO | 4 | 3
B2G-12-010 | CMS AN-2012/493 | 9 | 9 | PURDUE-CALUMET, BROWN-UNIV, BOSTON-UNIV | 3 | 3
B2G-12-011 |  | 0 | 0 |  | 0 | 0
B2G-12-012 | CMS AN-2012/491 | 5 | 5 | BROWN-UNIV, BOSTON-UNIV | 2 | 2
B2G-12-013 |  | 0 | 0 |  | 0 | 0
B2G-12-014 | CMS AN-2012/435 | 4 | 1 | TAIPEI-NTU, MIT | 2 | 1
B2G-12-015 | CMS AN-2013/028, CMS AN-2013/006 | 14 | 14 | BROWN-UNIV, BOSTON-UNIV, NEBRASKA | 3 | 3
B2G-12-016 | CMS AN-2012/323 | 3 | 0 | BRUSSEL-VUB, #not_found# | 2 | 0
B2G-12-017 |  | 0 | 0 |  | 0 | 0
B2G-12-018 |  | 0 | 0 |  | 0 | 0
B2G-12-019 | CMS AN-2012/438 | 8 | 7 | FLORIDA-STATE, RUTGERS, KANSAS-STATE, UCDAVIS, #not_found# | 5 | 4
B2G-12-020 | CMS AN-2012/456, CMS AN-2013/106, CMS AN-2013/026 | 20 | 2 | TAIPEI-NTU, RUTGERS, #not_found#, SKK-UNIV | 4 | 1
B2G-12-021 | CMS AN-2012/142 | 7 | 0 | TAIPEI-NTU, #not_found# | 2 | 0
B2G-12-022 | CMS AN-2013/013 | 5 | 2 | OHIO-STATE, #not_found#, STRASBOURG | 3 | 1
B2G-12-023 | CMS AN-2013/018 | 3 | 0 | LOUVAIN, PAVIA, #not_found# | 3 | 0
B2G-12-024 | CMS AN-2012/468 | 6 | 2 | OHIO-STATE, #not_found#, BRUSSEL-VUB | 3 | 1
B2G-12-025 |  | 0 | 0 |  | 0 | 0
B2G-13-001 | CMS AN-2012/488, CMS AN-2012/277, CMS AN-2012/179, CMS AN-2013/146 | 47 | 18 | LYON, UCDAVIS, CHICAGO, HAMBURG-UNIV, SUNY-BUFFALO, JOHNS-HOPKINS, BRUSSEL-VUB, GENOVA, #not_found# | 9 | 4
B2G-13-002 |  | 0 | 0 |  | 0 | 0
B2G-13-003 | CMS AN-2012/342, CMS AN-2012/257, CMS AN-2013/231 | 50 | 35 | RUTGERS, #not_found# | 2 | 1
BPH-07-001 | CMS AN-2007/024 | 3 | 0 |  | 0 | 0
BPH-07-002 | CMS AN-2007/023 | 6 | 0 |  | 0 | 0
BPH-07-003 | CMS AN-2007/042 | 1 | 0 | PISA | 1 | 0
BPH-07-004 | CMS AN-2007/043 | 2 | 0 | #not_found# | 1 | 0
BPH-08-001 |  | 0 | 0 |  | 0 | 0
BPH-08-002 |  | 0 | 0 |  | 0 | 0
BPH-08-003 |  | 0 | 0 |  | 0 | 0
BPH-08-004 |  | 0 | 0 |  | 0 | 0
BPH-08-005 |  | 0 | 0 |  | 0 | 0
BPH-08-006 |  | 0 | 0 |  | 0 | 0
BPH-08-007 |  | 0 | 0 |  | 0 | 0
BPH-08-008 |  | 0 | 0 |  | 0 | 0
BPH-08-009 |  | 0 | 0 |  | 0 | 0
BPH-08-010 |  | 0 | 0 |  | 0 | 0
BPH-08-011 |  | 0 | 0 |  | 0 | 0
BPH-09-001 | CMS AN-2009/079 | 2 | 2 | PRINCETON, PURDUE | 2 | 2
BPH-09-002 |  | 0 | 0 |  | 0 | 0
BPH-09-003 |  | 0 | 0 |  | 0 | 0
BPH-09-004 |  | 0 | 0 |  | 0 | 0
BPH-09-005 |  | 0 | 0 |  | 0 | 0
BPH-09-006 |  | 0 | 0 |  | 0 | 0
BPH-09-007 |  | 0 | 0 |  | 0 | 0
BPH-09-008 |  | 0 | 0 |  | 0 | 0
BPH-10-001 |  | 0 | 0 |  | 0 | 0
BPH-10-002 | CMS AN-2010/138, CMS AN-2010/158 | 60 | 0 |  | 0 | 0
BPH-10-003 | CMS AN-2010/140 | 1 | 2 | PURDUE | 1 | 1
BPH-10-004 | CMS AN-2010/152 | 2 | 1 | #not_found#, PURDUE | 2 | 1
