Code | Status | Name | Date | CADI Contact | CADI Contact Institute | CADI Contact Country | ARC Chair | ARC Chair Institute | ARC Chair Country | ARC Member 1 name | ARC Member 1 Institute | ARC Member 1 Country | ARC Member 2 name | ARC Member 2 Institute | ARC Member 2 Country | ARC Member 3 name | ARC Member 3 Institute | ARC Member 3 Country | ARC Member 4 name | ARC Member 4 Institute | ARC Member 4 Country | ARC Member 5 name | ARC Member 5 Institute | ARC Member 5 Country | ARC Member 6 name | ARC Member 6 Institute | ARC Member 6 Country | ARC Member 7 name | ARC Member 7 Institute | ARC Member 7 Country | ARC Member 8 name | ARC Member 8 Institute | ARC Member 8 Country | ARC Member 9 name | ARC Member 9 Institute | ARC Member 9 Country | ARC Member 10 name | ARC Member 10 Institute | ARC Member 10 Country | ARC Member 11 name | ARC Member 11 Institute | ARC Member 11 Country | ARC Member 12 name | ARC Member 12 Institute | ARC Member 12 Country | ARC Member 13 name | ARC Member 13 Institute | ARC Member 13 Country | ARC Member 14 name | ARC Member 14 Institute | ARC Member 14 Country | ARC Member 15 name | ARC Member 15 Institute | ARC Member 15 Country | Total # of ARC Members | Total # of ARC Members from USA  | AN 1 # | AN 1 Submitter | AN 1 Submitter Institute | AN 1 Submitter Country | AN 2 # | AN 2 Submitter | AN 2 Submitter Institute | AN 2 Submitter Country | AN 3 # | AN 3 Submitter | AN 3 Submitter Institute | AN 3 Submitter Country | AN 4 # | AN 4 Submitter | AN 4 Submitter Institute | AN 4 Submitter Country | AN 5 # | AN 5 Submitter | AN 5 Submitter Institute | AN 5 Submitter Country | AN 6 # | AN 6 Submitter | AN 6 Submitter Institute | AN 6 Submitter Country | AN 7 # | AN 7 Submitter | AN 7 Submitter Institute | AN 7 Submitter Country | AN 8 # | AN 8 Submitter | AN 8 Submitter Institute | AN 8 Submitter Country | AN 9 # | AN 9 Submitter | AN 9 Submitter Institute | AN 9 Submitter Country | AN 10 # | AN 10 Submitter | AN 10 Submitter Institute | AN 10 Submitter Country | AN 11 # | AN 11 Submitter | AN 11 Submitter Institute | AN 11 Submitter Country | AN 12 # | AN 12 Submitter | AN 12 Submitter Institute | AN 12 Submitter Country | AN 13 # | AN 13 Submitter | AN 13 Submitter Institute | AN 13 Submitter Country | AN 14 # | AN 14 Submitter | AN 14 Submitter Institute | AN 14 Submitter Country | AN 15 # | AN 15 Submitter | AN 15 Submitter Institute | AN 15 Submitter Country | Total # of AN | Total # of AN Submitters from US
 | Free | Search for supersymmetry in events with a lepton and missing energy | 2011 | Alexander Tapper | LONDON-IC | UnitedKingdom |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 0 | 0 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 0 | 0
 | Free | Search for top quark partners with kinematic reconstruction in single-lepton final states | 2012 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 0 | 0 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 0 | 0
 | Free | Search for ADD extra dimensions with a Monojet+MET signature | 2011 | Steven Worm | RAL | UnitedKingdom |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 0 | 0 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 0 | 0
 | Free | Top pair cross section in dileptons at 8 TeV | 2012 | Roberto Tenchini | PISA | Italy |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 0 | 0 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 0 | 0
 | Free | Measurement of bb(bar) angular correlations in Zbb events | 2011 | Vincenzo Chiochia | ZURICH-UNIV | Switzerland |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 0 | 0 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 0 | 0
B2G-12-001 | Free | Search for t' pair production in the dilepton channel | 2012 | Yanjun Tu | UCSD | USA |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 0 | 0 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 0 | 0
B2G-12-002 | PAS-PUB | Search for baryon-number violating top decays into 2 jets and 1 lepton | 2011 | Giacomo Bruno | LOUVAIN | Belgium | Jorgen D'Hondt | BRUSSEL-VUB | Belgium | John Paul Chou | RUTGERS | USA | Giovanni Organtini | ROMA-1 | Italy | Andrea Rizzi | PISA | Italy |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 4 | 1 | CMS AN-2011/511 | Bruno Giacomo | LOUVAIN | Belgium |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 1 | 0
B2G-12-003 | PAS-PUB | Search for a heavy partner of the top quark with charge 5/3 | 2011 | Tulika Bose | BOSTON-UNIV | USA | Sridhara Rao Dasu | WISCONSIN | USA | Victor Eduardo Bazterra | CHICAGO | USA | Kai-Feng Chen | TAIPEI-NTU | Taiwan | Avraham Yagil | UCSD | USA |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 4 | 3 | CMS AN-2011/419 | Bose Tulika | BOSTON-UNIV | USA |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 1 | 1
B2G-12-004 | PUB | Search for b' pair production in the lepton + jets channel | 2011 | Andrey Ivanov | KANSAS-STATE | USA | Andrea Giammanco | LOUVAIN | Belgium | Giovanni Abbiendi | BOLOGNA | Italy | Daniele Benedetti | PURDUE | USA | Daniel Marlow | PRINCETON | USA | Isabell Alissandra Melzer Pellmann | DESY | Germany |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 5 | 2 | CMS AN-2011/454 | Khalil Sadia | KANSAS-STATE | USA |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 1 | 1
B2G-12-005 | PAS-only-PUB | Search for ttbar resonances in boosted all-hadronic final state | 2012 | Justin Robert Pilot | UCDAVIS | USA | Vyacheslav Krutelyov | UCSB | USA | Robert Bainbridge | LONDON-IC | UnitedKingdom | Robert Clare | UCRIVERSIDE | USA | Roberto Covarelli | ROCHESTER | USA |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 4 | 3 | CMS AN-2012/179 | Pilot Justin | UCDAVIS | USA |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 1 | 1
